offense_id,occur_date,occur_day,occur_time,beat,zone,ibr_code,uc2_literal,neighborhood,npu,lat,long
210510419,2021-02-20,Saturday,00:00:00,504,5,220,Burglary,Marietta Street Artery,E,33.776646,-84.408131
210510465,2021-02-19,Friday,17:25:00,106,1,23F,Larceny From Vehicle,Knight Park/Howell Station,K,33.776307,-84.424319
210510504,2021-02-19,Friday,23:00:00,206,2,240,Auto Theft,Peachtree Heights East,B,33.828444,-84.380395
210510554,2021-02-10,Wednesday,08:38:00,404,4,23H,Larceny Non Vehicle,Westview,T,33.743241,-84.439359
210510565,2021-02-20,Saturday,03:20:00,206,2,23F,Larceny From Vehicle,Peachtree Heights East,B,33.828444,-84.380395
210510573,2021-02-18,Thursday,06:00:00,413,4,23F,Larceny From Vehicle,Fairway Acres,P,33.688673,-84.53858
210510593,2021-02-20,Saturday,03:00:00,409,4,240,Auto Theft,Adams Park,R,33.706568,-84.467983
210510603,2021-02-20,Saturday,09:00:00,104,1,240,Auto Theft,Mozley Park,K,33.75337,-84.429945
210510624,2021-02-20,Saturday,09:34:00,408,4,23F,Larceny From Vehicle,Venetian Hills,S,33.71622,-84.448259
210510661,2021-02-19,Friday,10:07:00,605,6,23F,Larceny From Vehicle,Grant Park,W,33.735899,-84.361311
210510691,2021-02-19,Friday,14:00:00,508,5,23H,Larceny Non Vehicle,Downtown,M,33.759426,-84.388371
210510745,2021-02-20,Saturday,11:14:00,404,4,23C,Larceny Non Vehicle,Cascade Avenue/Road,S,33.733203,-84.438182
210510785,2021-02-20,Saturday,02:00:00,604,6,23G,Larceny From Vehicle,Sweet Auburn,M,33.759313,-84.375614
210510828,2021-02-20,Saturday,01:19:00,503,5,240,Auto Theft,Midtown,E,33.782777,-84.386653
210510885,2021-02-20,Saturday,12:40:00,509,5,23F,Larceny From Vehicle,Downtown,M,33.764937,-84.38261
210510909,2021-02-20,Saturday,05:00:00,610,6,23F,Larceny From Vehicle,Kirkwood,O,33.75404,-84.319874
210510936,2021-02-19,Friday,21:00:00,601,6,23F,Larceny From Vehicle,Virginia Highland,F,33.774704,-84.355951
210510981,2021-02-20,Saturday,03:00:00,111,1,13A,Agg Assault,Harland Terrace,I,33.754039,-84.468757
