offense_id,occur_date,occur_day,occur_time,beat,zone,ibr_code,uc2_literal,neighborhood,npu,lat,long
210480403,2021-02-17,Wednesday,07:14:00,112,1,23C,Larceny Non Vehicle,Collier Heights,I,33.779278,-84.479969
210480412,2021-02-17,Wednesday,07:30:00,307,3,23H,Larceny Non Vehicle,Lakewood Heights,Y,33.706642,-84.379262
210480426,2021-02-17,Wednesday,07:35:00,207,2,23F,Larceny From Vehicle,Loring Heights,E,33.797099,-84.407479
210480501,2021-02-16,Tuesday,22:00:00,506,5,23F,Larceny From Vehicle,English Avenue,L,33.770265,-84.416733
210480504,2021-02-17,Wednesday,08:34:00,407,4,240,Auto Theft,Fairburn Mays,H,33.743964,-84.507654
210480525,2021-02-17,Wednesday,08:40:00,310,3,240,Auto Theft,Lakewood Heights,Y,33.699212,-84.392939
210480647,2021-02-16,Tuesday,19:00:00,605,6,23G,Larceny From Vehicle,Grant Park,W,33.746526,-84.378476
210480696,1922-02-17,Friday,10:32:00,103,1,23G,Larceny From Vehicle,Bolton,D,33.81402,-84.447583
210480720,2021-02-16,Tuesday,18:00:00,209,2,220,Burglary,East Chastain Park,B,33.859205,-84.381252
210480741,2021-02-17,Wednesday,10:50:00,202,2,23F,Larceny From Vehicle,Mt. Paran/Northside,A,33.877332,-84.412699
210480775,2021-02-17,Wednesday,04:55:00,102,1,23F,Larceny From Vehicle,Vine City,L,33.755768,-84.416631
210480777,2021-02-17,Wednesday,11:00:00,211,2,23C,Larceny Non Vehicle,Lindbergh/Morosgo,B,33.824305,-84.36316
210480810,2021-02-17,Wednesday,11:26:00,311,3,23G,Larceny From Vehicle,Hammond Park,X,33.675349,-84.408916
210480866,2021-02-15,Monday,11:00:00,210,2,23D,Larceny Non Vehicle,Lenox,B,33.848878,-84.365775
210480901,2021-02-12,Friday,07:00:00,501,5,23D,Larceny Non Vehicle,Home Park,E,33.779885,-84.408966
210480928,2021-02-17,Wednesday,12:08:00,111,1,23C,Larceny Non Vehicle,Harland Terrace,I,33.752615,-84.468372
210480943,2021-02-17,Wednesday,12:30:00,613,6,23H,Larceny Non Vehicle,Morningside/Lenox Park,F,33.792751,-84.352521
210481028,2021-02-17,Wednesday,12:55:00,309,3,13A,Agg Assault,Perkerson,X,33.681609,-84.400959
210481057,2021-02-17,Wednesday,12:20:00,104,1,13A,Agg Assault,Mozley Park,K,33.750999,-84.443472
210481115,2021-02-17,Wednesday,01:34:00,211,2,13A,Agg Assault,Peachtree Hills,B,33.822621,-84.387241
210481140,2021-02-04,Thursday,00:00:00,601,6,23H,Larceny Non Vehicle,Atkins Park,F,33.774211,-84.350857
210481165,2021-02-16,Tuesday,19:00:00,206,2,23F,Larceny From Vehicle,Garden Hills,B,33.832098,-84.382445
210481177,2021-02-17,Wednesday,14:19:00,404,4,240,Auto Theft,Westview,T,33.744793,-84.434191
210481178,2021-02-17,Wednesday,13:45:00,609,6,23C,Larceny Non Vehicle,Edgewood,O,33.758397,-84.348119
210481231,2021-02-04,Thursday,18:00:00,208,2,23H,Larceny Non Vehicle,North Buckhead,B,33.849797,-84.367778
210481416,2021-01-26,Tuesday,17:00:00,612,6,23H,Larceny Non Vehicle,East Atlanta,W,33.734035,-84.335286
210481434,2021-02-17,Wednesday,16:15:00,211,2,120,Robbery,Lindbergh/Morosgo,B,33.825604,-84.363788
210481471,2021-02-15,Monday,00:00:00,505,5,23H,Larceny Non Vehicle,Midtown,E,33.773547,-84.384554
210481478,2021-02-17,Wednesday,16:41:00,508,5,23G,Larceny From Vehicle,Downtown,M,33.761895,-84.38835
210481485,2021-02-17,Wednesday,16:44:00,614,6,23C,Larceny Non Vehicle,Midtown,E,33.775124,-84.365848
210481572,2021-02-16,Tuesday,12:45:00,302,3,23G,Larceny From Vehicle,Pittsburgh,V,33.732832,-84.403069
210481661,2021-02-15,Monday,17:57:00,407,4,23F,Larceny From Vehicle,Fairburn Mays,H,33.74843,-84.503835
210481676,2020-12-26,Saturday,16:52:00,210,2,23D,Larceny Non Vehicle,Lenox,B,33.851566,-84.358703
210481681,2021-02-17,Wednesday,18:01:00,114,1,09A,Homicide,English Park,G,33.787852,-84.493919
210481719,2021-02-17,Wednesday,13:54:00,202,2,23H,Larceny Non Vehicle,Mt. Paran/Northside,A,33.865462,-84.428729
210481792,2021-02-17,Wednesday,00:00:00,401,4,23F,Larceny From Vehicle,West End,T,33.73464,-84.414803
210481810,2021-02-17,Wednesday,19:09:00,412,4,220,Burglary,Midwest Cascade,Q,33.732687,-84.534055
210481811,2021-02-17,Wednesday,16:15:00,304,3,13A,Agg Assault,Summerhill,V,33.741027,-84.391596
210481829,2021-02-17,Wednesday,19:13:00,211,2,240,Auto Theft,Lindbergh/Morosgo,B,33.825441,-84.362192
210481848,2021-02-14,Sunday,00:00:00,401,4,23F,Larceny From Vehicle,West End,T,33.741488,-84.426552
210481861,2021-02-17,Wednesday,19:30:00,303,3,23F,Larceny From Vehicle,Mechanicsville,V,33.742599,-84.397826
210481867,2021-02-12,Friday,20:15:00,604,6,23H,Larceny Non Vehicle,Old Fourth Ward,M,33.755412,-84.372062
